id,title,abstract,authors,year,venue,search_string,v1_decision,v1_reason
28,MAGISTER: LLM-Based Test Generation with Role-Specialized Agents,"Automated test generation is one of the most critical topics in software testing, with numerous challenges due to the need for deep code understanding and the creation of meaningful assertions. Traditional approaches often generate low-quality and difficult-to-read tests that lack real code understanding and rely on statistical and dynamic analysis. With the recent advances in Large Language Models (LLMs), new opportunities emerge for generating unit tests that prioritize readability and context understanding. In this paper, we introduce MAGISTER, a multiagent framework for LLM-based unit test generation, where each agent (Analyzer Agent, Test Generation Agent, Executor Agent, and Refiner Agent) specializes in a specific role within the framework workflow, which involves analyzing the codebase to identify testable units and generating test code with feedbackdriven refinement. We evaluated MAGISTER on five open-source Python projects, demonstrating a significant improvement in code coverage for modular codebases compared to the original userwritten tests. However, it still has limitations when handling large and complex projects requiring domain-specific knowledge. Our results demonstrate the promising potential of LLM-driven and agent-based architectures in advancing test automation while highlighting directions for future improvement. Published in: 2025 International Conference on Intelligent Systems: Theories and Applications (SITA) Date of Conference: 20-21 October 2025 Date Added to IEEE Xplore: 09 December 2025 ISBN Information: DOI: 10.1109/SITA67914.2025.11273637 Publisher: IEEE Conference Location: Rabat, Morocco",Abdellatif Ahammad; Manal El Bajta; Maryam Radgui,2025,2025 International Conference on Intelligent Systems: Theories and Applications (SITA),"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)",INCLUDE,IC-L; IC-Y; IC-T; IC-P; IC-I; IC-E
29,Automated Control Logic Test Case Generation using Large Language Models,"Testing PLC and DCS control logic in industrial automation is laborious and challenging since appropriate test cases are often complex and difficult to formulate. Researchers have previously proposed several automated test case generation approaches for PLC software applying symbolic execution and search-based techniques. Often requiring formal specifications and performing a mechanical analysis of programs, these approaches may uncover specific programming errors but some-times suffer from state space explosion and cannot process rather informal specifications. We proposed a novel approach for the automatic generation of PLC test cases that queries a Large Language Model (LLM) to synthesize test cases for code provided in a prompt. Experiments with ten open-source function blocks from the OSCAT automation library showed that the approach is fast, easy to use, and can yield test cases with high statement coverage for low-to-medium complex programs. However, we also found that LLM-generated test cases suffer from erroneous assertions in many cases, which still require manual adaption. Published in: 2024 IEEE 29th International Conference on Emerging Technologies and Factory Automation (ETFA) Date of Conference: 10-13 September 2024 Date Added to IEEE Xplore: 16 October 2024 ISBN Information: ISSN Information: DOI: 10.1109/ETFA61755.2024.10711016 Publisher: IEEE Conference Location: Padova, Italy",Heiko Koziolek; Virendra Ashiwal; Soumyadip Bandyopadhyay; Chandrika K R,2024,2024 IEEE 29th International Conference on Emerging Technologies and Factory Automation (ETFA),"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)",EXCLUDE,"EC-O – sinh test cho PLC/DCS industrial automation (thư viện OSCAT), không phải software unit test"
30,WIP: CodeInspector: Automated LLM-Supported CS1-Level Code Assessment,"This research-to-practice WIP paper presents CodeInspector—an automated assessment system for CS1-level Java assignments. Designed for scalability and modularity, CodeInspector streamlines and standardizes code assessment, promoting a more equitable learning environment. Our preliminary findings suggest that CodeInspector is promising. It reduces instructors' assessment workload while providing students with immediate, formative feedback that supports an iterative learning process. Additionally, CodeInspector offers students insights into their performance through error-weighted densities benchmarked against class-wide averages. Published in: 2025 IEEE Frontiers in Education Conference (FIE) Date of Conference: 02-05 November 2025 Date Added to IEEE Xplore: 13 January 2026 ISBN Information: ISSN Information: DOI: 10.1109/FIE63693.2025.11328429 Publisher: IEEE Conference Location: Nashville, TN, USA",Essa Imhmed; Edgar Ceh-Varela; Ludwig Scherer; George Candal; Ivan Sanjaya,2025,2025 IEEE Frontiers in Education Conference (FIE),"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)",EXCLUDE,"EC-S; EC-O – WIP short paper (không đủ 4 trang); nội dung về đánh giá code giáo dục, không phải unit test generation"
31,ChatGPT vs SBST: A Comparative Assessment of Unit Test Suite Generation,"Recent advancements in large language models (LLMs) have demonstrated exceptional success in a wide range of general domain tasks, such as question answering and following instructions. Moreover, LLMs have shown potential in various software engineering applications. In this study, we present a systematic comparison of test suites generated by the ChatGPT LLM and the state-of-the-art SBST tool EvoSuite. Our comparison is based on several critical factors, including correctness, readability, code coverage, and bug detection capability. By highlighting the strengths and weaknesses of LLMs (specifically ChatGPT) in generating unit test cases compared to EvoSuite, this work provides valuable insights into the performance of LLMs in solving software engineering problems. Overall, our findings underscore the potential of LLMs in software engineering and pave the way for further research in this area. Published in: IEEE Transactions on Software Engineering ( Volume: 50, Issue: 6, June 2024) Page(s): 1340 - 1359 Date of Publication: 29 March 2024 ISSN Information: DOI: 10.1109/TSE.2024.3382365 Publisher: IEEE Funding Agency:",Yutian Tang; Zhijie Liu; Zhichao Zhou; Xiapu Luo,2024,IEEE Transactions on Software Engineering,"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)",INCLUDE,IC-L; IC-Y; IC-T; IC-P; IC-I; IC-E
32,Nuances are the Key: Unlocking ChatGPT to Find Failure-Inducing Tests with Differential Prompting,"Automated detection of software failures is an important but challenging software engineering task. It involves finding in a vast search space the failure-inducing test cases that contain an input triggering the software fault and an oracle asserting the incorrect execution. We are motivated to study how far this outstanding challenge can be solved by recent advances in large language models (LLMs) such as ChatGPT. However, our study reveals that ChatGPT has a relatively low success rate (28.8%) in finding correct failure-inducing test cases for buggy programs. A possible conjecture is that finding failure-inducing test cases requires analyzing the subtle differences (nuances) between the tokens of a program's correct version and those for its buggy version. When these two versions have similar sets of tokens and attentions, ChatGPT is weak in distinguishing their differences. We find that ChatGPT can successfully generate failure-inducing test cases when it is guided to focus on the nuances. Our solution is inspired by an interesting observation that ChatGPT could infer the intended functionality of buggy code if it is similar to the correct version. Driven by the inspiration, we develop a novel technique, called Differential Prompting, to effectively find failure-inducing test cases with the help of the compilable code synthesized by the inferred intention. Prompts are constructed based on the nuances between the given version and the synthesized code. We evaluate Differential Prompting on Quixbugs (a popular benchmark of buggy programs) and recent programs published at Codeforces (a popular programming contest portal, which is also an official benchmark of ChatGPT). We compare Differential Prompting with two baselines constructed using conventional ChatGPT prompting and Pynguin (the state-of-the-art unit test generation tool for Python programs). Our evaluation results show that for programs of Quixbugs, Differential Prompting can achieve a success rate of 75.0% in finding failure-inducing test cases, outperforming the best baseline by 2.6X. For programs of Codeforces, Differential Prompting's success rate is 66.7%, outperforming the best baseline by 4.0X. Show Less Published in: 2023 38th IEEE/ACM International Conference on Automated Software Engineering (ASE) Date of Conference: 11-15 September 2023 Date Added to IEEE Xplore: 08 November 2023 ISBN Information: ISSN Information: DOI: 10.1109/ASE56229.2023.00089 Publisher: IEEE Conference Location: Luxembourg, Luxembourg Funding Agency:",Tsz-On Li; Wenxi Zong; Yibo Wang; Haoye Tian; Ying Wang; Shing-Chi Cheung; Jeff Kramer,2023,2023 38th IEEE/ACM International Conference on Automated Software Engineering (ASE),"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)",INCLUDE,IC-L; IC-Y; IC-T; IC-P; IC-I; IC-E
33,An Evaluation Framework for Software Unit Tests Generated by Large Language Models,"Faulty software unit tests can lead to undetected bugs, undermining software quality, reliability, and security. While prior research has explored automated test generation, it often neglects the use of state-of-the-art LLMs, lacks differentiation between test and program faults, overlooks readability and maintainability metrics, and rarely leverages prompt engineering for optimization. To address these gaps, this paper introduces a comprehensive evaluation framework for assessing the quality of LLM-generated unit tests along three key dimensions: validity, effectiveness, and readability. The framework combines established metrics with a newly proposed metric for validity, encompassing Build & Successful Execution Rate and Unit Test Failure Evaluation (for validity), Line Coverage and Mutation Score (for effectiveness), and Flesch-Kincaid Grade Level, Gunning Fog Index, and Halstead Metrics (for readability). We apply this framework to unit tests generated by two leading LLMs-GPT40 and Llama 3-70B-8192-across 10 Java programs, also examining how prompt engineering affects test quality. Our findings provide a detailed picture of current LLMs' capabilities and limitations in unit test generation, offe ring actionable insights for researchers and practitioners aiming to integrate LLMs into software testing workflows. Source code is available at the following link - https://github.com/StevenTNguyen-Code/Quality-of-AI-Generated-Test-Cases Published in: 2025 IEEE 36th International Symposium on Software Reliability Engineering Workshops (ISSREW) Date of Conference: 21-21 October 2025 Date Added to IEEE Xplore: 01 December 2025 ISBN Information: ISSN Information: DOI: 10.1109/ISSREW67781.2025.00081 Publisher: IEEE Conference Location: São Paulo, Brazil",Steven Thanhtan Nguyen; Smita Bharath; Hajar Homayouni,2025,2025 IEEE 36th International Symposium on Software Reliability Engineering Workshops (ISSREW),"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)",INCLUDE,IC-L; IC-Y; IC-T; IC-P; IC-I; IC-E
34,ScenEval: A Benchmark for Scenario-Based Evaluation of Code Generation,"In the scenario-based evaluation of machine learning models, a key problem is how to construct test datasets that represent various scenarios. The methodology proposed in this paper is to construct a benchmark and attach metadata to each test case. Then a test system can be constructed with test morphisms that filter the test cases based on metadata to form a dataset. The paper demonstrates this methodology with large language models for code generation. A benchmark called ScenEval is constructed from problems in textbooks, an online tutorial website and Stack Overflow. Filtering by scenario is demonstrated and the test sets are used to evaluate ChatGPT for Java code generation. Our experiments found that the performance of ChatGPT decreases with the complexity of the coding task. It is weakest for advanced topics like multi-threading, data structure algorithms and recursive methods. The Java code generated by ChatGPT tends to be much shorter than reference solution in terms of number of lines, while it is more likely to be more complex in both cyclomatic and cognitive complexity metrics, if the generated code is correct. However, the generated code is more likely to be less complex than the reference solution if the code is incorrect. Published in: 2024 IEEE International Conference on Artificial Intelligence Testing (AITest) Date of Conference: 15-18 July 2024 Date Added to IEEE Xplore: 25 September 2024 ISBN Information: ISSN Information: DOI: 10.1109/AITest62860.2024.00015 Publisher: IEEE Conference Location: Shanghai, China",Debalina Ghosh Paul; Hong Zhu; Ian Bayley,2024,2024 IEEE International Conference on Artificial Intelligence Testing (AITest),"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)",EXCLUDE,"EC-O – benchmark đánh giá code generation (ScenEval), không phải unit test generation"
35,Cypress Copilot: Development of an AI Assistant for Boosting Productivity and Transforming Web Application Testing,"In today’s fast-paced software development environment, Agile methodologies demand rapid delivery and continuous improvement, making automated testing essential for maintaining quality and accelerating feedback loops. Our study addresses the challenges of developing and maintaining automation code for web-based application testing. In this paper, we propose a novel approach that leverages large language models (LLMs) and a novel prompt technique, few-shot chain, to automate code generation for web application testing. We chose the Behavior-Driven Development (BDD) methodology owing to its advantages and selected the Cypress tool for automating web application testing, as it is one of the most popular and rapidly growing frameworks in this domain. We comprehensively evaluated various OpenAI models, including GPT-4-Turbo, GPT-4o, and GitHub Copilot, using zero-shot and few-shot chain prompt techniques. Furthermore, we extensively validated with a vast set of test cases to identify the optimal approach. Our results indicate that the Cypress automation code generated by GPT-4o using a few-shot chained prompt approach excels in generating complete code for each test case, with fewer empty methods and improved syntactical accuracy and maintainability. Based on these findings, we developed a novel open-source Visual Studio Code (IDE) extension, “Cypress Copilot” utilizing GPT-4o and a few-shot chain prompt technique, which has shown promising results. Finally, we validate the Cypress Copilot tool by generating automation code for end-to-end web tests, demonstrating its effectiveness in testing various web applications and its ability to streamline development processes. More importantly, we are releasing this tool to the open-source community, as it has the potential to be a promising partner in enhancing productivity in web application automation testing. Workflow of Cypress Copilot Visual studio extension Published in: IEEE Access ( Volume: 13) Page(s): 3215 - 3229 Date of Publication: 23 December 2024 Electronic ISSN: 2169-3536 DOI: 10.1109/ACCESS.2024.3521407 Publisher: IEEE",Suresh Babu Nettur; Shanthi Karpurapu; Unnati Nettur; Likhit Sagar Gajja,2025,IEEE Access,"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)",EXCLUDE,"EC-O – tự động hóa kiểm thử web E2E bằng Cypress (Cypress Copilot), không phải unit test generation"
36,From Misuse to Mastery: Enhancing Code Generation with Knowledge-Driven AI Chaining,"Large Language Models (LLMs) have shown promising results in automatic code generation by improving coding efficiency to a certain extent. However, generating high-quality and reliable code remains a formidable task because of LLMs' lack of good programming practice, especially in exception handling. In this paper, we first conduct an empirical study and summarize three crucial challenges of LLMs in exception handling, i.e., incomplete exception handling, incorrect exception handling and abuse of try-catch. We then try prompts with different granularities to address such challenges, finding fine-grained knowledge-driven prompts works best. Based on our empirical study, we propose a novel Knowledge-driven Prompt Chaining-based code generation approach, name KPC, which decomposes code generation into an AI chain with iterative check-rewrite steps and chains fine-grained knowledge-driven prompts to assist LLMs in considering exception-handling specifications. We evaluate our KPC-based approach with 3,079 code generation tasks extracted from the Java official API documentation. Extensive experimental results demonstrate that the KPC-based approach has considerable potential to ameliorate the quality of code generated by LLMs. It achieves this through proficiently managing exceptions and obtaining remarkable enhancements of 109.86% and 578.57% with static evaluation methods, as well as a reduction of 18 runtime bugs in the sampled dataset with dynamic validation. Published in: 2023 38th IEEE/ACM International Conference on Automated Software Engineering (ASE) Date of Conference: 11-15 September 2023 Date Added to IEEE Xplore: 08 November 2023 ISBN Information: ISSN Information: DOI: 10.1109/ASE56229.2023.00143 Publisher: IEEE Conference Location: Luxembourg, Luxembourg Funding Agency:",Xiaoxue Ren; Xinyuan Ye; Dehai Zhao; Zhenchang Xing; Xiaohu Yang,2023,2023 38th IEEE/ACM International Conference on Automated Software Engineering (ASE),"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)",EXCLUDE,"EC-O – sinh code bằng knowledge-driven prompt chaining (xử lý exception), không phải unit test generation"
37,Software Unit Test Automation with LLM-Based Generative AI: Evaluating Test Quality through Code Coverage and Edge-Case Analysis,"Software unit testing is a critical verification step to ensure the correctness and reliability of software. However, manual writing of test cases is a time-consuming and error-prone process. This paper examines the integration of generative artificial intelligence models (LLM) into software test engineering and addresses automatic unit test generation. In the proposed method, test functions in pytest format are generated from the GPT-4 model using sample functions written in Python and these outputs are systematically evaluated. The validity of the tests is tested in terms of functional correctness by running them with pytest, and code coverage rates are measured with the coverage.py tool. Furthermore, the automatic generation of edge-case scenarios was analysed. The results show that the proposed method can produce tests with high accuracy and an average code coverage rate as high as 100%. At least one edge-case for each function was successfully tested. The results obtained show that generative artificial intelligence-based test generation can be integrated into software development processes and can significantly speed up and improve the accuracy of manual test writing. In this context, the study demonstrates that LLM-based test automation can be used as a productivity enhancing tool in software engineering and makes an original contribution to the literature. Published in: 2025 10th International Conference on Computer Science and Engineering (UBMK) Date of Conference: 17-21 September 2025 Date Added to IEEE Xplore: 24 October 2025 ISBN Information: ISSN Information: DOI: 10.1109/UBMK67458.2025.11206953 Publisher: IEEE Conference Location: Istanbul, Turkiye",Sevdanur Genç; Mustafa Furkan Ceylan; Ayhan İstanbullu,2025,2025 10th International Conference on Computer Science and Engineering (UBMK),"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)",INCLUDE,IC-L; IC-Y; IC-T; IC-P; IC-I; IC-E
38,TRAGIC: Test Oracle Generation for ISA Compliance Testing via Large Language Model,"RISC-V is one of the latest Instruction Set Architectures (ISAs). It features an extremely modular and extensible design that makes it suitable for a variety of applications, from embedded systems to large computing systems. However, its inherent customizability and open nature also present challenges in terms of compliance and standardization. Traditionally, the validation relies on Spike as the reference simulator to generate compliance test oracles. Nevertheless, research has demonstrated that Spike may contain bugs, which may compromise the reliability of the generated test oracles. Therefore, developing new cross-validation methods has become increasingly important. To address this challenge, we propose TRAGIC, a method for generating compliance test oracles for RISC-V compliance testing based on Large Language Models (LLMs). Different from traditional software testing, ISA compliance testing demands a finer-grained multidimensional test oracle, including not only the program outputs but also the detailed program states, such as key registers and memory addresses. Furthermore, long instruction sequences frequently exceed the context limitations of LLMs, and direct reasoning under such conditions leads to a notable degradation in accuracy. Therefore, TRAGIC employs a hierarchical strategy with two key components. First, the Block Segmentation Component (BSC) decomposes complex test cases into manageable sub-tasks by analyzing the control flow and applying block slicing techniques. The segmentation both preserves the original program semantics and reduces the reasoning context, thereby enhancing inference accuracy. Second, the Graph of Inference Component (GIC) performs structured reasoning on these sub-tasks using explicitly designed Chain-of-Thought prompts. We utilize LLM to dynamically infer the output of each subtask and determine the next block to execute, continuing this iterative process until the entire task is completed. Meanwhile, key register and memory address tables are maintained and integrated into the final test oracle. By combining the BSC and the GIC, TRAGIC effectively mitigates the accuracy loss associated with long context information and enhances the accuracy of test oracle generation. TRAGIC passes evaluation on the official RISC-V compliance test suite with manually-written test cases. Furthermore, we also show that when integrated with automated test generation tools, our method found 6 bugs, 2 of which were previously unknown. Show Less Published in: IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems ( Early Access ) Page(s): 1 - 1 Date of Publication: 13 November 2025 ISSN Information: DOI: 10.1109/TCAD.2025.3632771 Publisher: IEEE Funding Agency:",Zhihao Xu; Bixin Li; Xiaoning Du; Lulu Wang; Li Liao; Ying Zhou,2025,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)",EXCLUDE,"EC-O – sinh test oracle cho ISA/RISC-V hardware compliance testing, không phải software unit test"
39,A Program Synthesis Dataset for LLM Temperature Analysis,"Large Language Models (LLMs) play an increasingly critical role in software engineering research, aiding tasks such as program synthesis, automated program repair, and test case generation. While extensive evaluations of LLMs exist, those results are mostly based on well-known and frequently used benchmarks, therefore, the available generated texts are mostly the same. This means the published generated texts do not provide additional data to the researcher community. Generated texts on well-known and frequently used benchmarks also introduce the risk that models may be inadvertently or deliberately optimized for those specific benchmarks, thereby distorting the assessment of their true generalization capabilities. This work introduces a dataset containing 18,900 raw and 18,896 processed LLM-generated outputs from nine open-source models across three model families (Llama, Qwen, DeepSeek). These models were evaluated on seven programming tasks sourced from the Sapientia ECN competition, ensuring diversity in available LLM-generated content. To capture the stochastic variability of LLM generation, inference was conducted three times per model while systematically varying the temperature parameter across 100 settings per run. Using all model and temperature variations on every task for the evaluation, we created a JSON file that contains information about 29.882 test cases that can be used simply by loading the JSON file. The temperature setting of large language models is a crucial factor, though the optimal value has not yet been determined, and deeper analysis requires an extensive amou...Show More Published in: IEEE Access ( Volume: 13) Page(s): 184022 - 184029 Date of Publication: 24 October 2025 Electronic ISSN: 2169-3536 DOI: 10.1109/ACCESS.2025.3625443 Publisher: IEEE Funding Agency:",Zoltán Ságodi; István Kolláth; Péter Hegedűs; Rudolf Ferenc,2025,IEEE Access,"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)",EXCLUDE,"EC-O – dataset & phân tích temperature cho program synthesis với LLM, không phải unit test generation"
40,Chatgpt-Based Test Generation for Refactoring Engines Enhanced by Feature Analysis on Examples,"Software refactoring is widely employed to improve software quality. However, conducting refactorings manually is tedious, time-consuming, and error-prone. Consequently, automated and semi-automated tool support is highly desirable for software refactoring in the industry, and most of the main-stream IDEs provide powerful tool support for refactoring. However, complex refactoring engines are prone to errors, which in turn may result in imperfect and incorrect refactorings. To this end, in this paper, we propose a ChatGPT-based approach to testing refactoring engines. We first manually analyze bug reports and test cases associated with refactoring engines, and construct a feature library containing fine-grained features that may trigger defects in refactoring engines. The approach automatically generates prompts according to both predefined prompt templates and features randomly selected from the feature library, requesting ChatGPT to generate test programs with the requested features. Test programs generated by ChatGPT are then forwarded to multiple refactoring engines for differential testing. To the best of our knowledge, it is the first approach in testing refactoring engines that guides test program generation with features derived from existing bugs. It is also the first approach in this line that exploits LLMs in the generation of test programs. Our initial evaluation of four main-stream refactoring engines suggests that the proposed approach is effective. It identified a total of 115 previously unknown bugs besides 28 inconsistent refactoring behaviors among different engines. Among the 115 bugs, 78 have been manually confirmed by the original developers of the tested engines, i.e., IntelliJ IDEA, Eclipse, VScode-Java, and NetBeans. Published in: 2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE) Date of Conference: 26 April 2025 - 06 May 2025 Date Added to IEEE Xplore: 23 June 2025 ISBN Information: ISSN Information: DOI: 10.1109/ICSE55347.2025.00210 Publisher: IEEE Conference Location: Ottawa, ON, Canada Funding Agency:",Chunhao Dong; Yanjie Jiang; Yuxia Zhang; Yang Zhang; Hui Liu,2025,2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE),"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)",INCLUDE,IC-L; IC-Y; IC-T; IC-P; IC-I; IC-E
41,CodaMosa: Escaping Coverage Plateaus in Test Generation with Pre-trained Large Language Models,"Search-based software testing (SBST) generates high-coverage test cases for programs under test with a combination of test case generation and mutation. SBST's performance relies on there being a reasonable probability of generating test cases that exercise the core logic of the program under test. Given such test cases, SBST can then explore the space around them to exercise various parts of the program. This paper explores whether Large Language Models (LLMs) of code, such as OpenAI's Codex, can be used to help SBST's exploration. Our proposed algorithm, CodaMosa, conducts SBST until its coverage improvements stall, then asks Codex to provide example test cases for under-covered functions. These examples help SBST redirect its search to more useful areas of the search space. On an evaluation over 486 benchmarks, CodaMosa achieves statistically significantly higher coverage on many more benchmarks (173 and 279) than it reduces coverage on (10 and 4), compared to SBST and LLM-only baselines. Published in: 2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE) Date of Conference: 14-20 May 2023 Date Added to IEEE Xplore: 14 July 2023 ISBN Information: ISSN Information: DOI: 10.1109/ICSE48619.2023.00085 Publisher: IEEE Conference Location: Melbourne, Australia",Caroline Lemieux; Jeevana Priya Inala; Shuvendu K. Lahiri; Siddhartha Sen,2023,2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE),"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)",INCLUDE,IC-L; IC-Y; IC-T; IC-P; IC-I; IC-E
42,Trace: Test Repair via Agent-based Context Extraction with LLMs,"As software evolves, test code must be co-maintained to ensure quality, but it often becomes obsolete, leading to failures that mislead developers and increase maintenance overhead. While recent Large Language Model (LLM)-based approaches show promise for repairing obsolete tests, their effectiveness is constrained by a critical challenge: providing comprehensive, repository-level context without overwhelming the models’ input limits. Fixed retrieval strategies often fail to capture the diverse dependencies required for complex repairs. In this paper, we present Trace, a retrieve-agent-based repository-level test repair method. The Trace selectively retrieves crucial context by analyzing (1) class-level structures to understand internal changes, (2) caller methods to capture real-world usage patterns, and (3) related files along the call graph to trace transitive dependencies. This multi-faceted context provides the LLM with a precise and concise understanding of the necessary code environment. We evaluated Trace on a dataset of real-world Java test updates, where it demonstrated superior performance compared to existing state-of-the-art baselines. Our results confirm that a structured, adaptive retrieval process is key to unlocking the full potential of LLMs for automated test maintenance. Published in: 2025 32nd Asia-Pacific Software Engineering Conference (APSEC) Date of Conference: 02-05 December 2025 Date Added to IEEE Xplore: 24 February 2026 ISBN Information: ISSN Information: DOI: 10.1109/APSEC66846.2025.00017 Publisher: IEEE Conference Location: Macau, China",Jingxiang Tu; Bo Lin; Yihao Qin; Shangwen Wang; Liqian Chen; Xiaoguang Mao,2025,2025 32nd Asia-Pacific Software Engineering Conference (APSEC),"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)",EXCLUDE,"EC-O – sửa/bảo trì test ở cấp repository (test co-evolution), không phải test generation"
43,A Fully Automated Agent for End-to-End Code Translation and Validation,"Migration of software across programming languages is a critical yet labor-intensive task, often requiring deep code understanding and manual intervention. In this study, we develop a fully automated agent for end-to-end code translation and validation. First, we generate code comments from Java source code using various large language models (LLMs) to enhance code comprehension and facilitate cross-language translation. Second, leveraging these AI-generated comments, we automatically generate equivalent C# code, demonstrating the potential of AI in software migration and interoperability. Third, we complete both Java and generated C# code and prepare them to execute. Fourth, we apply automated unit testing to assess functional correctness and ensure the reliability of AI-generated code. Our results show that a fully automated LLM agent may be effective in bridging programming languages with human-in-the-loop. This approach opens new possibilities for scalable, AIdriven software modernization and cross-platform development. We recommend that such an LLM agent should be used in tandem with human experts during the generation of a reliable and correct code. Published in: 2025 IEEE International Conference on Collaborative Advances in Software and COmputiNg (CASCON) Date of Conference: 10-13 November 2025 Date Added to IEEE Xplore: 23 January 2026 ISBN Information: DOI: 10.1109/CASCON66301.2025.00128 Publisher: IEEE Conference Location: Toronto, ON, Canada",Eray Erer; Aysun Bozanta; Turgay Aytac; Ayse Basar,2025,2025 IEEE International Conference on Collaborative Advances in Software and COmputiNg (CASCON),"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)",EXCLUDE,"EC-O – dịch & kiểm thử code (Java-to-C# migration), không phải unit test generation"
44,LLM-Based Test-Driven Interactive Code Generation: User Study and Empirical Evaluation,"Large language models (LLMs) have shown great potential in automating significant aspects of coding by producing natural code from informal natural language (NL) intent. However, given NL is informal, it does not lend easily to checking that the generated code correctly satisfies the user intent. In this paper, we propose a novel interactive workflow TiCoder for guided intent clarification (i.e., partial formalization) through tests to support the generation of more accurate code suggestions. Through a mixed methods user study with 15 programmers, we present an empirical evaluation of the effectiveness of the workflow to improve code generation accuracy. We find that participants using the proposed workflow are significantly more likely to correctly evaluate AI generated code, and report significantly less task-induced cognitive load. Furthermore, we test the potential of the workflow at scale with four different state-of-the-art LLMs on two python datasets, using an idealized proxy for a user feedback. We observe an average absolute improvement of 45.97% in the pass@1 code generation accuracy for both datasets and across all LLMs within 5 user interactions, in addition to the automatic generation of accompanying unit tests. Published in: IEEE Transactions on Software Engineering ( Volume: 50, Issue: 9, September 2024) Page(s): 2254 - 2268 Date of Publication: 22 July 2024 ISSN Information: DOI: 10.1109/TSE.2024.3428972 Publisher: IEEE",Sarah Fakhoury; Aaditya Naik; Georgios Sakkas; Saikat Chakraborty; Shuvendu K. Lahiri,2024,IEEE Transactions on Software Engineering,"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)",EXCLUDE,"EC-O – test-driven code generation (dùng test làm specification để sinh code), không phải unit test generation"
