id,title,authors,year,venue,search_strings,v1_decision,v1_reason,v2_decision,v2_reason
12,A Comparative Study of Android Performance Issues in Real-world Applications and Literature,"Liao, Dianshu; Pan, Shidong; Yang, Siyuan; Zhao, Yanjie; Xing, Zhenchang; Sun, Xiaoyu",2025,ACM Transactions on Software Engineering and Methodology,String B,EXCLUDE,EC-N - Nghiên cứu so sánh về vấn đề hiệu năng trên Android,x,
13,A Comparative Study on ChatGPT and Checklist as Support Tools for Unit Testing Education,"Fang, Zihan; Li, Jiliang; Liang, Anda; Bai, Gina R.; Huang, Yu",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,String B,EXCLUDE,EC-O - Nghiên cứu so sánh công cụ hỗ trợ giáo dục unit test cho sinh viên,x,
14,A Comprehensive Evaluation of Parameter-Efficient Fine-Tuning on Code Smell Detection,"Zhang, Beiqi; Liang, Peng; Zhou, Xin; Zhou, Xiyu; Lo, David; Feng, Qiong; Li, Zengyang; Li, Lin",2026,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,"EC-O - Phát hiện ""mùi"" mã nguồn (Code Smell Detection) không phải unit test.",x,
15,A Comprehensive Study on Large Language Models for Mutation Testing,"Wang, Bo; Chen, Mingda; Deng, Ming; Lin, Youfang; Harman, Mark; Papadakis, Mike; Zhang, Jie M.",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B, String C",EXCLUDE,"EC-O - Tập trung vào sinh đột biến (mutant generation), không phải sinh unit test case",x,
16,"A Comprehensive Survey on Database Management System Fuzzing: Techniques, Taxonomy and Evaluation","Gao, Xiyue; Liu, Zhuang; Cui, Jiangtao; Li, Hui; Zhang, Hui; Wei, Kewei; Zhao, Kankan",2026,ACM Computing Surveys,"String A, String B, String C",EXCLUDE,EC-N - Bài khảo sát (Survey) về fuzzing hệ quản trị cơ sở dữ liệu,x,
17,A DSL for Testing LLMs for Fairness and Bias,"Morales, Sergio; Clarisó, Robert; Cabot, Jordi",2024,Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems,String A,EXCLUDE,EC-O - Kiểm thử định kiến (bias) của các mô hình LLM,x,
18,A First Look at the Inheritance-Induced Redundant Test Execution,"Kim, Dong Jae; Yang, Jinqiu; Chen, Tse-Hsun",2024,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,String B,EXCLUDE,"EC-O - Nghiên cứu về thực thi test dư thừa do tính kế thừa, không phải sinh test",x,
19,A Large-Scale Empirical Review of Patch Correctness Checking Approaches,"Yang, Jun; Wang, Yuehan; Lou, Yiling; Wen, Ming; Zhang, Lingming",2023,Proceedings of the 31st ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,"String A, String B",EXCLUDE,EC-N - Đánh giá thực nghiệm về các phương pháp kiểm tra bản vá,x,
20,A Large-Scale Empirical Study on Fine-Tuning Large Language Models for Unit Testing,"Shang, Ye; Zhang, Quanjun; Fang, Chunrong; Gu, Siqi; Zhou, Jianyi; Chen, Zhenyu",2025,Proceedings of the ACM on Software Engineering,"String A, String B",INCLUDE,"IC-P, IC-I, IC-E (Nghiên cứu thực nghiệm tinh chỉnh LLM cho unit testing)",INCLUDE,"Đọc full-text, đủ IC-L, IC-T, IC-P, IC-I, IC-E"
21,A Large-Scale Evaluation for Log Parsing Techniques: How Far Are We?,"Jiang, Zhihan; Liu, Jinyang; Huang, Junjie; Li, Yichen; Huo, Yintong; Gu, Jiazhen; Chen, Zhuangbin; Zhu, Jieming; Lyu, Michael R.",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String B,EXCLUDE,EC-O - Đánh giá kỹ thuật phân tách log,x,
22,A Method for Efficient Structured Data Generation with Large Language Models,"Hou, Zongzhi; Zhao, Ruohan; Li, Zhongyang; Wang, Zheng; Wu, Yizhen; Gou, Junwei; Zhu, Zhifeng",2024,Proceedings of the 2nd Workshop on Large Generative Models Meet Multimodal Applications,"String A, String B",EXCLUDE,EC-O - Sinh dữ liệu có cấu trúc (Structured Data Generation) không phải unit test.,x,
23,A Model of How Students Engineer Test Cases With Feedback,"Shin, Austin M.; Kazerouni, Ayaan M.",2024,ACM Transactions on Computing Education,"String A, String B",EXCLUDE,EC-O - Nghiên cứu cách sinh viên viết test case thủ công,x,
24,A Multi-Agent Coding Assistant for Cloud-Native Development: From Requirements to Deployable Microservices,"Guan, Tian",2025,Proceedings of the 2025 6th International Conference on Computer Science and Management Technology,String A,UNSURE,"Có đề cập đến ""Tester Agent"" sinh test tự động cho microservices cần đọc full-text để xác nhận mức Unit",EXCLUDE,"EC-O - Nghiên cứu về sinh mã nguồn tổng quát (General Code Generation) từ yêu cầu đến deploy, không tập trung chuyên biệt vào task Unit Testing"
25,A Multi-Dimensional Quality Evaluation of Code Generated by LLM-Based Tools Across Multiple Programming Languages,"Li, Ruimeng; Mo, Ran; Zeng, Yao; Liu, Zili; Li, Zengyang; Ma, Yutao",2026,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-O - Đánh giá chất lượng mã nguồn tổng quát được sinh bởi AI,x,
26,A Pair Programming Framework for Code Generation via Multi-Plan Exploration and Feedback-Driven Refinement,"Zhang, Huan; Cheng, Wei; Wu, Yuhan; Hu, Wei",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,String A,UNSURE,"Khung làm việc sinh mã có bao gồm bước ""code testing"" tự động cần xác nhận mức Unit",EXCLUDE,"EC-O - Nghiên cứu về sinh mã nguồn tổng quát (General Code Generation) từ mô tả ngôn ngữ tự nhiên, không phải sinh test case cho code có sẵn"
27,A Pilot Study in Surveying Data Challenges of Automatic Software Engineering Tasks,"Dong, Liming; Lu, Qinghua; Zhu, Liming",2024,Proceedings of the 4th International Workshop on Software Engineering and AI for Data Quality in Cyber-Physical Systems/Internet of Things,String B,EXCLUDE,EC-N - Bài nghiên cứu sơ bộ khảo sát các thách thức về dữ liệu trong SE,x,
28,A Qualitative Analysis of Fuzzer Usability and Challenges,"Zhao, Yunze; Guo, Wentao; Goldstein, Harrison; Votipka, Daniel; Fulton, Kelsey R.; Mazurek, Michelle L.",2025,Proceedings of the 2025 ACM SIGSAC Conference on Computer and Communications Security,String B,EXCLUDE,EC-N - Nghiên cứu định tính về khả năng sử dụng của công cụ Fuzzer,x,
29,A Quantitative and Qualitative Evaluation of LLM-Based Explainable Fault Localization,"Kang, Sungmin; An, Gabin; Yoo, Shin",2024,Proceedings of the ACM on Software Engineering,"String A, String B",EXCLUDE,EC-O - Định vị lỗi có giải thích (Explainable Fault Localization),x,
30,A Research Roadmap for Augmenting Software Engineering Processes and Software Products with Generative AI,"Amalfitano, Domenico; Metzger, Andreas; Autili, Marco; Fulcini, Tommaso; Hey, Tobias; Keim, Jan; Pelliccione, Patrizio; Scotti, Vincenzo; Koziolek, Anne; Mirandola, Raffaela; Vogelsang, Andreas",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B",EXCLUDE,EC-N - Lộ trình nghiên cứu về SE tăng cường bởi GenAI,x,
31,A Roadmap for Software Testing in Open-Collaborative and AI-Powered Era,"Wang, Qing; Wang, Junjie; Li, Mingyang; Wang, Yawen; Liu, Zhe",2025,ACM Transactions on Software Engineering and Methodology,String B,EXCLUDE,EC-N - Lộ trình nghiên cứu về kiểm thử phần mềm trong kỷ nguyên AI,x,
32,A Survey of Learning-based Automated Program Repair,"Zhang, Quanjun; Fang, Chunrong; Ma, Yuxiang; Sun, Weisong; Chen, Zhenyu",2024,ACM Transactions on Software Engineering and Methodology,"String A, String B",EXCLUDE,EC-N - Bài tổng quan về sửa lỗi chương trình tự động (APR),x,
33,A Survey of Operating System Kernel Fuzzing,"Xu, Jiacheng; Jiang, Shihao; Sun, He; Wang, Qinying; Zhang, Mingming; Li, Xiang; Shen, Kaiwen; Zhang, Charles; Ji, Shouling; Cheng, Peng; Chen, Jiming",2025,ACM Transactions on Software Engineering and Methodology,String B,EXCLUDE,EC-N - Bài khảo sát về Fuzzing nhân hệ điều hành,x,
34,A Survey of Protocol Fuzzing,"Zhang, Xiaohan; Zhang, Cen; Li, Xinghua; Du, Zhengjie; Mao, Bing; Li, Yuekang; Zheng, Yaowen; Li, Yeting; Pan, Li; Liu, Yang; Deng, Robert",2025,ACM Computing Surveys,"String A, String B",EXCLUDE,EC-N - Bài khảo sát về Fuzzing giao thức,x,
35,A Survey of Research in Large Language Models for Electronic Design Automation,"Pan, Jingyu; Zhou, Guanglei; Chang, Chen-Chia; Jacobson, Isaac; Hu, Jiang; Chen, Yiran",2025,ACM Transactions on Design Automation of Electronic Systems,String A,EXCLUDE,EC-N - Bài khảo sát về LLM cho tự động hóa thiết kế điện tử (EDA),x,
36,A Survey of Testing Techniques Based on Large Language Models,"Qi, Fei; Hou, Yingnan; Lin, Ning; Bao, Shanshan; Xu, Nuo",2024,Proceedings of the 2024 International Conference on Computer and Multimedia Technology,String B,EXCLUDE,EC-N - Bài khảo sát về kiểm thử dựa trên LLM,x,
37,A Survey on Feedback Types in Automated Programming Assessment Systems,"Frankford, Eduard; Antensteiner, Tobias; Vierhauser, Michael; Sauerwein, Clemens; Wallner, Vivien; Groher, Iris; Plösch, Reinhold; Breu, Ruth",2026,ACM Transactions on Computing Education,String B,EXCLUDE,EC-N - Khảo sát về các loại phản hồi trong hệ thống đánh giá lập trình,x,
38,A Survey on LLM-based Code Generation for Low-Resource and Domain-Specific Programming Languages,"Joel, Sathvik; Wu, Jie; Fard, Fatemeh",2025,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,"EC-N - Bài tổng quan (Survey) về sinh mã cho ngôn ngữ đặc thù, không có thực nghiệm sinh unit test",x,
39,A Survey on Large Language Models for Code Generation,"Jiang, Juyong; Wang, Fan; Shen, Jiasi; Kim, Sungju; Kim, Sunghun",2026,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-N - Bài tổng quan (Survey) về sinh mã nguồn,x,
40,"A Systematic Evaluation of Large Code Models in API Suggestion: When, Which, and How","Wang, Chaozheng; Gao, Shuzheng; Gao, Cuiyun; Wang, Wenxuan; Chong, Chun Yong; Gao, Shan; Lyu, Michael R.",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,String A,EXCLUDE,"EC-O - Tập trung vào gợi ý API (API Suggestion), không phải sinh unit test.",x,
41,A Systematic Literature Review of Parameter-Efficient Fine-Tuning for Large Code Models,"Afrin, Saima; Haque, Md Zahidul; Mastropaolo, Antonio",2026,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-N - Bài tổng quan hệ thống (SLR) về PEFT cho các mô hình mã nguồn.,x,
42,A Systematic Literature Review on Automated Software Vulnerability Detection Using Machine Learning,"Shiri Harzevili, Nima; Boaye Belle, Alvine; Wang, Junjie; Wang, Song; Jiang, Zhen Ming (Jack); Nagappan, Nachiappan",2025,ACM Computing Surveys,"String A, String B",EXCLUDE,EC-N - Bài tổng quan hệ thống về phát hiện lỗ hổng bằng ML,x,
43,A Systematic Literature Review on Large Language Models for Automated Program Repair,"Zhang, Quanjun; Fang, Chunrong; Xie, Yang; Ma, Yuxiang; Sun, Weisong; Yang, Yun; Chen, Zhenyu",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B",EXCLUDE,EC-N - Bài tổng quan hệ thống về LLM cho sửa lỗi chương trình (APR),x,
44,A Theory of Scientific Programming Efficacy,"Pertseva, Elizaveta; Chang, Melinda; Zaman, Ulia; Coblenz, Michael",2024,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,String A,EXCLUDE,EC-N - Xây dựng lý thuyết về hiệu quả lập trình khoa học.,x,
45,A Tool for Generating Exceptional Behavior Tests With Large Language Models,"Zhong, Linghan; Yuan, Samuel; Zhang, Jiyang; Liu, Yu; Nie, Pengyu; Li, Junyi Jessy; Gligoric, Milos",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,String A,INCLUDE,"IC-P, IC-I, IC-E (Sinh unit test cho các hành vi ngoại lệ bằng LLM)",INCLUDE,"Đọc full-text, đủ IC-L, IC-T, IC-P, IC-I, IC-E"
46,A compatibility test method for Android applications based on multimodal large models in crowdsourcing scenarios,"Guo, Keying; Zhao, Peiling; Cao, Yuzhong",2025,Proceedings of the 2025 5th International Conference on Computer Network Security and Software Engineering,String A,EXCLUDE,EC-O - Kiểm thử tương thích ứng dụng Android,x,
47,AI Assistants to Enhance and Exploit the PETSc Knowledge Base,"Smith, Barry; Zhang, Junchao; Zhang, Hong; McInnes, Lois Curfman; Keceli, Murat; Vasan, Archit; Balay, Satish; Isaac, Toby; Chen, Le; Vishwanath, Venkatram",2025,Workshop Proceedings of the 54th International Conference on Parallel Processing,String A,EXCLUDE,EC-O - Hỗ trợ xây dựng và khai thác cơ sở tri thức cho thư viện PETSc.,x,
48,AI in the Software Development Lifecycle: Insights and Open Research Questions,"Guimaraes, Everton; Nascimento, Nathalia",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,String A,EXCLUDE,EC-N - Bài viết định hướng về AI trong vòng đời phát triển phần mềm,x,
49,AI-Generated Test Scripts for Web E2E Testing with ChatGPT and Copilot: A Preliminary Study,"Leotta, Maurizio; Yousaf, Hafiz Zeeshan; Ricca, Filippo; Garcia, Boni",2024,Proceedings of the 28th International Conference on Evaluation and Assessment in Software Engineering,"String A, String B, String C",EXCLUDE,"EC-O - Kiểm thử mức hệ thống (E2E) cho Web, không phải unit test",x,
50,AI5GTest: AI-Driven Specification-Aware Automated Testing and Validation of 5G O-RAN Components,"Ganiyu, Abiodun; Gajjar, Pranshav; Shah, Vijay K",2025,18th ACM Conference on Security and Privacy in Wireless and Mobile Networks,String A,EXCLUDE,EC-O - Kiểm thử tuân thủ đặc tả giao tiếp 5G O-RAN,x,
51,API-Guided Dataset Synthesis to Finetune Large Code Models,"Li, Zongjie; Wu, Daoyuan; Wang, Shuai; Su, Zhendong",2025,Proceedings of the ACM on Programming Languages,"String A, String B",EXCLUDE,EC-O - Tổng hợp tập dữ liệu để tinh chỉnh mô hình mã nguồn nói chung,x,
52,ASTRA-5G: Automated Over-the-Air Security Testing and Research Architecture for 5G SA Devices,"Khandker, Syed; Guerra, Michele; Bitsikas, Evangelos; Jover, Roger Piqueras; Ranganathan, Aanjhan; Pöpper, Christina",2024,Proceedings of the 17th ACM Conference on Security and Privacy in Wireless and Mobile Networks,String A,EXCLUDE,EC-O - Kiểm thử bảo mật giao thức 5G,x,
53,Accelerating Software Development Using Generative AI: ChatGPT Case Study,"Rajbhoj, Asha; Somase, Akanksha; Kulkarni, Piyush; Kulkarni, Vinay",2024,Proceedings of the 17th Innovations in Software Engineering Conference,String A,EXCLUDE,EC-O - Nghiên cứu tình huống về SDLC tổng quát,x,
54,Accessibility Issue Detection and Repair in Mobile Applications: A Systematic Literature Review,"Liu, Zhenyu; Yao, Dengfeng; Liu, Hongzhe; Xu, Cheng; Huang, Huiyue",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B",EXCLUDE,EC-N - Bài tổng quan về phát hiện và sửa lỗi khả năng tiếp cận (accessibility),x,
55,Activity Transition Graph Generation: How Far Are We?,"Liu, Jiakun; Zhang, Peixin; Hu, Han; Liu, Yonghui; Minn, Wei; Thung, Ferdian; Maoz, Shahar; Toch, Eran; Gao, Debin; Lo, David",2025,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-O - Đánh giá các công cụ sinh đồ thị chuyển đổi hoạt động (ATG) Android,x,
56,"Adoption of AI Assisted Coding – Cognitive Barriers, Motivational Factors and Productivity Gains","Varanasi, Dhiraj Sm; Reddy, Y. Raghu; Potdar, Sandip; Warudkar, Himanshu S",2026,Proceedings of the 19th Innovations in Software Engineering Conference,String A,EXCLUDE,EC-O - Nghiên cứu thực nghiệm về việc áp dụng GitHub Copilot,x,
57,Advancing Code Coverage: Incorporating Program Analysis with Large Language Models,"Yang, Chen; Chen, Junjie; Lin, Bin; Wang, Ziqi; Zhou, Jianyi",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B, String C",INCLUDE,"IC-P, IC-I, IC-E (Kết hợp phân tích chương trình và LLM để tăng độ bao phủ unit test Python)",INCLUDE,"Đọc full-text, đủ IC-L, IC-T, IC-P, IC-I, IC-E"
58,AdverIntent-Agent: Adversarial Reasoning for Repair Based on Inferred Program Intent,"Ye, He; Yang, Aidan Z.H.; Hu, Chang; Wang, Yanlin; Zhang, Tao; Le Goues, Claire",2025,Proceedings of the ACM on Software Engineering,"String A, String B",EXCLUDE,EC-O - Sửa lỗi chương trình tự động (APR) dựa trên ý định,x,
59,AgoneTest: Automated creation and assessment of Unit tests leveraging Large Language Models,"Lops, Andrea; Narducci, Fedelucio; Ragone, Azzurra; Trizio, Michelantonio",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,"String A, String B",INCLUDE,"IC-P, IC-I, IC-E (Khung sinh và đánh giá unit test mức class bằng LLM)",INCLUDE,"Đọc full-text, đủ IC-L, IC-T, IC-P, IC-I, IC-E"
60,AlphaTrans: A Neuro-Symbolic Compositional Approach for Repository-Level Code Translation and Validation,"Ibrahimzada, Ali Reza; Ke, Kaiyao; Pawagi, Mrigank; Abid, Muhammad Salman; Pan, Rangeet; Sinha, Saurabh; Jabbarvand, Reyhaneh",2025,Proceedings of the ACM on Software Engineering,String B,EXCLUDE,"EC-O - Dịch mã nguồn mức repository, không tập trung sinh unit test mới",x,
61,An Approach to Generating API Test Scripts Using GPT,"Nguyen, Cuong; Bui, Huy; Nguyen, Vu; Nguyen, Tien",2023,Proceedings of the 12th International Symposium on Information and Communication Technology,"String A, String B",EXCLUDE,EC-O - Sinh kịch bản kiểm thử API mức hệ thống,x,
62,An Empirical Study of Code Clones from Commercial AI Code Generators,"Wu, Weibin; Hu, Haoxuan; Fan, Zhaoji; Qiao, Yitong; Huang, Yizhan; Li, Yichen; Zheng, Zibin; Lyu, Michael",2025,Proceedings of the ACM on Software Engineering,String A,EXCLUDE,EC-O - Nghiên cứu về nhân bản mã (Code clones) trong sinh mã AI,x,
63,"An Empirical Study of Code Search in Intelligent Coding Assistant: Perceptions, Expectations, and Directions","Liu, Chao; Zhang, Xindong; Zhang, Hongyu; Wan, Zhiyuan; Huang, Zhan; Yan, Meng",2024,Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering,String A,EXCLUDE,EC-O - Tìm kiếm mã nguồn (Code Search) không phải unit test.,x,
64,An Empirical Study on Challenges for LLM Application Developers,"Chen, Xiang; Gao, Chaoyang; Chen, Chunyang; Zhang, Guangbei; Liu, Yong",2025,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-O - Nghiên cứu thách thức đối với nhà phát triển ứng dụng LLM tổng quát,x,
65,An Empirical Study on Focal Methods in Deep-Learning-Based Approaches for Assertion Generation,"He, Yibo; Huang, Jiaming; Yu, Hao; Xie, Tao",2024,Proceedings of the ACM on Software Engineering,String A,INCLUDE,"IC-P, IC-I, IC-E (Nghiên cứu thực nghiệm về sinh unit test assertion cho Java).",INCLUDE,"Đọc full-text, đủ IC-L, IC-T, IC-P, IC-I, IC-E"
66,An Empirical Study on How Large Language Models Impact Software Testing Learning,"Mezzaro, Simone; Gambi, Alessio; Fraser, Gordon",2024,Proceedings of the 28th International Conference on Evaluation and Assessment in Software Engineering,"String A, String B",EXCLUDE,EC-O - Nghiên cứu giáo dục về cách sinh viên học kiểm thử với LLM,x,
67,An Empirical Study on the Code Refactoring Capability of Large Language Models,"Cordeiro, Jonathan; Noei, Shayan; Zou, Ying",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B, String C",EXCLUDE,"EC-O - Tái cấu trúc mã nguồn, không phải sinh unit test",x,
68,"An Experimental Study Evaluating Cost, Adequacy, and Effectiveness of Pynguin's Test Sets","Guerino, Lucca; Vincenzi, Auri",2023,8th Brazilian Symposium on Systematic and Automated Software Testing,"String A, String B, String C",EXCLUDE,"EC-O - Đánh giá công cụ Pynguin (Search-based), không sử dụng LLM làm intervention chính",x,
69,An LLM Assistant for Software Project Onboarding,"Larsen, Knud Ronau; Edvall, Magnus; Ho-Quang, Truong; Dobslaw, Felix; Jolak, Rodi",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,String A,EXCLUDE,EC-O - Hỗ trợ lập trình viên mới làm quen dự án (onboarding),x,
70,An initial investigation of ChatGPT unit test generation capability,"Guilherme, Vitor; Vincenzi, Auri",2023,8th Brazilian Symposium on Systematic and Automated Software Testing,"String A, String B, String C",INCLUDE,"IC-P, IC-I, IC-E (Đánh giá sinh unit test Java bằng LLM qua coverage và mutation score)",INCLUDE,"Đọc full-text, đủ IC-L, IC-T, IC-P, IC-I, IC-E"
71,Analyzing Developer Use of ChatGPT Generated Code in Open Source GitHub Projects,"Grewal, Balreet; Lu, Wentao; Nadi, Sarah; Bezemer, Cor-Paul",2024,Proceedings of the 21st International Conference on Mining Software Repositories,String A,EXCLUDE,EC-O - Nghiên cứu thực nghiệm về việc sử dụng mã nguồn do ChatGPT sinh ra,x,
72,Analyzing LLM Usage in an Advanced Computing Class in India,"Arora, Utkarsh; Garg, Anupam; Gupta, Aryan; Jain, Samyak; Mehta, Ronit; Oberoi, Rupin; Prachi; Raina, Aryaman; Saini, Manav; Sharma, Sachin; Singh, Jaskaran; Tyagi, Sarthak; Kumar, Dhruv",2025,Proceedings of the 27th Australasian Computing Education Conference,String A,UNSURE,"Có đề cập đến sinh test case trong lớp học, cần đọc full-text để xác nhận thực nghiệm unit test",EXCLUDE,"EC-O - Nghiên cứu về giáo dục (Computing Education), phân tích hành vi sử dụng LLM của sinh viên, không đánh giá kỹ thuật tự động hóa mới"
73,Are Autonomous Web Agents Good Testers?,"Chevrot, Antoine; Vernotte, Alexandre; Falleri, Jean-Rémy; Blanc, Xavier; Legeard, Bruno; Cretin, Aymeric",2025,Proceedings of the ACM on Software Engineering,String A,EXCLUDE,EC-O - Tác nhân Web tự động thực thi test case,x,
74,Are Human Rules Necessary? Generating Reusable APIs with CoT Reasoning and In-Context Learning,"Mai, Yubo; Gao, Zhipeng; Hu, Xing; Bao, Lingfeng; Liu, Yu; Sun, JianLing",2024,Proceedings of the ACM on Software Engineering,String A,EXCLUDE,EC-O - Sinh mã API từ StackOverflow,x,
75,Are LLMs Ready for Competitive Programming? An Empirical Study,"Dang, Tran Tri; Jani, Jaronie Mohd; Ling, Huo-Chong; Tran, Linh Duc; Tran, Quang; Nguyen, Quy; Tran, Hoang; Pham, Thanh Chi",2026,Proceedings of the 2026 14th International Conference on Software and Information Engineering,"String A, String B, String C",EXCLUDE,EC-O - Đánh giá khả năng giải bài tập lập trình thi đấu (CP),x,
76,Artificial Intelligence for Software Engineering: The Journey So Far and the Road Ahead,"Ahmed, Iftekhar; Aleti, Aldeida; Cai, Haipeng; Chatzigeorgiou, Alexander; He, Pinjia; Hu, Xing; Pezzè, Mauro; Poshyvanyk, Denys; Xia, Xin",2025,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-N - Bài báo lộ trình (Roadmap) nghiên cứu,x,
77,Artificial intelligence tools in code quality analysis:A systematic review,"Felix, Taina G. C.; Brito, Jean C. De S.; Da Silva, Jorge A. P.; De Aguiar, Phelipe M. C.; Bezerra, Erick C.",2026,Proceedings of the 2026 18th International Conference on Computer Research and Development,String A,EXCLUDE,EC-N - Bài tổng quan hệ thống (Systematic Review) về công cụ AI cho chất lượng mã nguồn.,x,
78,Assertion Messages with Large Language Models (LLMs) for Code,"Aljohani, Ahmed; Mollah, Anamul Haque; Do, Hyunsook",2025,Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering,String A,INCLUDE,"IC-P, IC-I, IC-E (Sinh nội dung assertion messages cho unit test Java)",INCLUDE,"Đọc full-text, đủ IC-L, IC-T, IC-P, IC-I, IC-E"
